Uninstalled 1 package in 0.48ms
Installed 1 package in 2ms
/home/mingzhang/Downloads/code/autoresearch/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:283: UserWarning: 
    Found GPU0 NVIDIA GB10 which is of cuda capability 12.1.
    Minimum and Maximum cuda capability supported by this version of PyTorch is
    (8.0) - (12.0)
    
  warnings.warn(
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 4.718669e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Skipping torch.compile on CUDA capability > 12.0
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011079 | lrm: 1.00 | dt: 1166ms | tok/sec: 28,097 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.945626 | lrm: 1.00 | dt: 388ms | tok/sec: 84,528 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.744965 | lrm: 1.00 | dt: 381ms | tok/sec: 85,986 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.481524 | lrm: 1.00 | dt: 383ms | tok/sec: 85,637 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.186926 | lrm: 1.00 | dt: 391ms | tok/sec: 83,807 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.953153 | lrm: 1.00 | dt: 386ms | tok/sec: 84,800 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.721612 | lrm: 1.00 | dt: 390ms | tok/sec: 84,007 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.528162 | lrm: 1.00 | dt: 381ms | tok/sec: 85,957 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.363902 | lrm: 1.00 | dt: 384ms | tok/sec: 85,359 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.220951 | lrm: 1.00 | dt: 387ms | tok/sec: 84,586 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.088978 | lrm: 1.00 | dt: 383ms | tok/sec: 85,662 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.967059 | lrm: 1.00 | dt: 384ms | tok/sec: 85,300 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.864244 | lrm: 1.00 | dt: 396ms | tok/sec: 82,821 | mfu: 0.4% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.763692 | lrm: 1.00 | dt: 386ms | tok/sec: 84,817 | mfu: 0.4% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.670189 | lrm: 1.00 | dt: 389ms | tok/sec: 84,170 | mfu: 0.4% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 6.594168 | lrm: 1.00 | dt: 386ms | tok/sec: 84,969 | mfu: 0.4% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 6.517016 | lrm: 1.00 | dt: 386ms | tok/sec: 84,957 | mfu: 0.4% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 6.449863 | lrm: 1.00 | dt: 386ms | tok/sec: 84,857 | mfu: 0.4% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 6.399399 | lrm: 1.00 | dt: 386ms | tok/sec: 84,993 | mfu: 0.4% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 6.335837 | lrm: 1.00 | dt: 388ms | tok/sec: 84,497 | mfu: 0.4% | epoch: 1 | remaining: 297s    
step 00020 (1.2%) | loss: 6.294433 | lrm: 1.00 | dt: 383ms | tok/sec: 85,592 | mfu: 0.4% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 6.237076 | lrm: 1.00 | dt: 385ms | tok/sec: 85,128 | mfu: 0.4% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 6.201256 | lrm: 1.00 | dt: 387ms | tok/sec: 84,687 | mfu: 0.4% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 6.157866 | lrm: 1.00 | dt: 386ms | tok/sec: 84,899 | mfu: 0.4% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 6.120737 | lrm: 1.00 | dt: 382ms | tok/sec: 85,783 | mfu: 0.4% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 6.084118 | lrm: 1.00 | dt: 395ms | tok/sec: 82,986 | mfu: 0.4% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 6.045671 | lrm: 1.00 | dt: 386ms | tok/sec: 84,856 | mfu: 0.4% | epoch: 1 | remaining: 294s    
step 00027 (2.1%) | loss: 6.023850 | lrm: 1.00 | dt: 386ms | tok/sec: 84,956 | mfu: 0.4% | epoch: 1 | remaining: 293s    
step 00028 (2.2%) | loss: 5.988073 | lrm: 1.00 | dt: 385ms | tok/sec: 85,133 | mfu: 0.4% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 5.961871 | lrm: 1.00 | dt: 383ms | tok/sec: 85,657 | mfu: 0.4% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 5.940754 | lrm: 1.00 | dt: 388ms | tok/sec: 84,346 | mfu: 0.4% | epoch: 1 | remaining: 292s    
step 00031 (2.6%) | loss: 5.915392 | lrm: 1.00 | dt: 387ms | tok/sec: 84,630 | mfu: 0.4% | epoch: 1 | remaining: 292s    
step 00032 (2.7%) | loss: 5.890191 | lrm: 1.00 | dt: 391ms | tok/sec: 83,906 | mfu: 0.4% | epoch: 1 | remaining: 291s    
step 00033 (2.8%) | loss: 5.869725 | lrm: 1.00 | dt: 382ms | tok/sec: 85,735 | mfu: 0.4% | epoch: 1 | remaining: 291s    
step 00034 (3.0%) | loss: 5.850052 | lrm: 1.00 | dt: 384ms | tok/sec: 85,364 | mfu: 0.4% | epoch: 1 | remaining: 291s    
step 00035 (3.1%) | loss: 5.832184 | lrm: 1.00 | dt: 388ms | tok/sec: 84,373 | mfu: 0.4% | epoch: 1 | remaining: 290s    
step 00036 (3.2%) | loss: 5.811511 | lrm: 1.00 | dt: 387ms | tok/sec: 84,668 | mfu: 0.4% | epoch: 1 | remaining: 290s    
step 00037 (3.4%) | loss: 5.804224 | lrm: 1.00 | dt: 387ms | tok/sec: 84,667 | mfu: 0.4% | epoch: 1 | remaining: 290s    
step 00038 (3.5%) | loss: 5.787876 | lrm: 1.00 | dt: 393ms | tok/sec: 83,331 | mfu: 0.4% | epoch: 1 | remaining: 289s    
step 00039 (3.6%) | loss: 5.769669 | lrm: 1.00 | dt: 386ms | tok/sec: 84,783 | mfu: 0.4% | epoch: 1 | remaining: 289s    
step 00040 (3.7%) | loss: 5.757361 | lrm: 1.00 | dt: 388ms | tok/sec: 84,461 | mfu: 0.4% | epoch: 1 | remaining: 288s    
step 00041 (3.9%) | loss: 5.741243 | lrm: 1.00 | dt: 386ms | tok/sec: 84,891 | mfu: 0.4% | epoch: 1 | remaining: 288s    
step 00042 (4.0%) | loss: 5.729690 | lrm: 1.00 | dt: 383ms | tok/sec: 85,650 | mfu: 0.4% | epoch: 1 | remaining: 288s    
step 00043 (4.1%) | loss: 5.711776 | lrm: 1.00 | dt: 390ms | tok/sec: 83,918 | mfu: 0.4% | epoch: 1 | remaining: 287s    
step 00044 (4.3%) | loss: 5.694244 | lrm: 1.00 | dt: 385ms | tok/sec: 85,180 | mfu: 0.4% | epoch: 1 | remaining: 287s    
step 00045 (4.4%) | loss: 5.682787 | lrm: 1.00 | dt: 392ms | tok/sec: 83,569 | mfu: 0.4% | epoch: 1 | remaining: 286s    
step 00046 (4.5%) | loss: 5.660808 | lrm: 1.00 | dt: 384ms | tok/sec: 85,259 | mfu: 0.4% | epoch: 1 | remaining: 286s    
step 00047 (4.6%) | loss: 5.648943 | lrm: 1.00 | dt: 385ms | tok/sec: 85,051 | mfu: 0.4% | epoch: 1 | remaining: 286s    
step 00048 (4.8%) | loss: 5.638006 | lrm: 1.00 | dt: 390ms | tok/sec: 84,091 | mfu: 0.4% | epoch: 1 | remaining: 285s    
step 00049 (4.9%) | loss: 5.632429 | lrm: 1.00 | dt: 385ms | tok/sec: 85,014 | mfu: 0.4% | epoch: 1 | remaining: 285s    
step 00050 (5.0%) | loss: 5.618346 | lrm: 1.00 | dt: 389ms | tok/sec: 84,154 | mfu: 0.4% | epoch: 1 | remaining: 285s    
